TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
Longmire to Cougar Rock Campground Snowshoe,Mount Rainier Area,7.6,roundtrip,1300.0,4100.0,3.67,3,46.7502968332,-121.812211275,2021-04-07,28,https://www.wta.org/go-hiking/hikes/wonderland-trail-snowshoe
West Side Road,Issaquah Alps,,,,,2.75,4,,,2021-03-23,29,https://www.wta.org/go-hiking/hikes/west-side-road
Green Mountain - Wildcat Trail,Olympic Peninsula,9.5,roundtrip,1900.0,1639.0,4.5,4,47.6003,-122.788061,2021-03-16,59,https://www.wta.org/go-hiking/hikes/wildcat-trail
Westport State Park - Westport Light Trail,Southwest Washington,2.0,roundtrip,15.0,30.0,5.0,1,46.8868420871,-124.12379163,2021-02-21,24,https://www.wta.org/go-hiking/hikes/westport-light-trail
West Tiger Railroad Grade,Issaquah Alps,8.7,trails,1800.0,2000.0,2.0,6,47.52965,-121.9957,2021-04-22,163,https://www.wta.org/go-hiking/hikes/west-tiger-railroad-grade
Westside Road,Mount Rainier Area,11.0,roundtrip,,,1.75,4,46.7353900343,-121.856575012,2020-10-25,63,https://www.wta.org/go-hiking/hikes/westside-road
Sun Lakes-Dry Falls State Park - Umatilla Rock via Monument Coulee,Central Washington,5.0,roundtrip,100.0,,3.4,5,47.5854899,-119.3556542,2021-04-01,42,https://www.wta.org/go-hiking/hikes/umatilla-rock-monument-coulee
Van Trump Park,Mount Rainier Area,6.0,roundtrip,2150.0,5850.0,4.36,25,46.7790333333,-121.7823,2020-11-08,178,https://www.wta.org/go-hiking/hikes/van-trump-park
Wahatis Peak,Central Washington,,,,,0.0,0,46.806522118,-119.558233022,2020-06-16,5,https://www.wta.org/go-hiking/hikes/wahatis-peak
Turkey Creek,Eastern Washington,8.0,roundtrip,2060.0,5300.0,4.25,4,,,2019-07-23,11,https://www.wta.org/go-hiking/hikes/turkey-creek
Twin Firs Loop,Mount Rainier Area,0.5,roundtrip,50.0,2550.0,3.12,8,46.7343666667,-121.838783333,2021-03-14,22,https://www.wta.org/go-hiking/hikes/twin-firs-loop
Tradition Lake Loop,Issaquah Alps,2.9,roundtrip,150.0,540.0,3.81,16,47.52965,-121.9957,2021-04-02,105,https://www.wta.org/go-hiking/hikes/tradition-lakes
Trail of the Shadows,Mount Rainier Area,0.7,roundtrip,20.0,2770.0,2.73,11,46.7496666667,-121.81065,2020-12-23,56,https://www.wta.org/go-hiking/hikes/trail-of-the-shadows
Anderson Landing Preserve,Olympic Peninsula,2.0,roundtrip,,,0.0,0,47.662181,-122.763182,2020-08-24,9,https://www.wta.org/go-hiking/hikes/anderson-landing-nature-preserve
Rocky Top,Central Washington,,,,,4.0,1,46.6278,-120.683691,2021-04-02,24,https://www.wta.org/go-hiking/hikes/rocky-top
Paramount Open Space,Puget Sound and Islands,0.95,roundtrip,120.0,380.0,1.0,1,47.7364124006,-122.318096515,2018-01-06,2,https://www.wta.org/go-hiking/hikes/paramount-open-space
Deadwood Lakes,Mount Rainier Area,2.2,roundtrip,470.0,5600.0,0.0,0,46.8747660135,-121.517205834,2019-07-18,5,https://www.wta.org/go-hiking/hikes/deadwood-lakes
Indian Trail,Puget Sound and Islands,3.0,roundtrip,32.0,320.0,2.0,2,47.4519121879,-122.378999591,2021-04-13,18,https://www.wta.org/go-hiking/hikes/indian-trail-burien
Big Tree Trail,Olympic Peninsula,1.5,roundtrip,200.0,400.0,4.0,5,47.5870058504,-122.734478124,2021-03-11,43,https://www.wta.org/go-hiking/hikes/big-tree-trail-1
Kettle Crest Trail,Eastern Washington,44.0,one-way,8000.0,7140.0,5.0,1,48.5009953838,-118.421459198,2020-07-17,8,https://www.wta.org/go-hiking/hikes/kettle-crest-trail
Salmon-Morgan Creeks Natural Area,Southwest Washington,1.5,roundtrip,,,3.5,2,45.7555963522,-122.511127532,2020-10-28,23,https://www.wta.org/go-hiking/hikes/salmon-morgan-creek
Forest Park - Everett,Puget Sound and Islands,4.9,trails,1100.0,370.0,3.5,2,47.9621404261,-122.219424247,2021-02-07,20,https://www.wta.org/go-hiking/hikes/forest-park-everett
Mount Misery Loop,Eastern Washington,48.5,roundtrip,4000.0,6387.0,0.0,0,46.11915828,-117.5367367,2020-07-03,3,https://www.wta.org/go-hiking/hikes/misery-mountain-loop
Northwest Mox Peak,North Cascades,,,,8407.0,0.0,0,48.948747,-121.262656,2015-06-30,1,https://www.wta.org/go-hiking/hikes/mox-peaks-northwest-peak
Southeast Mox Peak,North Cascades,15.0,one-way,7400.0,8504.0,0.0,0,48.947222,-121.256945,2015-06-30,1,https://www.wta.org/go-hiking/hikes/mox-peaks-southeast-peak
Mount Redoubt,North Cascades,,,,8956.0,0.0,0,48.9551304,-121.3867686,2015-06-30,1,https://www.wta.org/go-hiking/hikes/mount-redoubt
Mount Custer,North Cascades,,,,8630.0,0.0,0,48.9891,-121.2497,2015-06-30,1,https://www.wta.org/go-hiking/hikes/mount-custer
Mount Rahm,North Cascades,,,,8480.0,0.0,0,48.9977,-121.2306,2015-06-30,1,https://www.wta.org/go-hiking/hikes/mount-rahm
Mount Spickard,North Cascades,,,,8979.0,0.0,0,48.9698,-121.2406,2015-06-30,1,https://www.wta.org/go-hiking/hikes/mount-spickard
Mount Formidable,North Cascades,20.0,roundtrip,6100.0,8325.0,0.0,0,48.416177,-121.067504,2015-05-30,1,https://www.wta.org/go-hiking/hikes/mount-formidable
Colonial Peak,North Cascades,,,,,0.0,0,48.7096825664,-121.145102978,2020-07-29,4,https://www.wta.org/go-hiking/hikes/colonial-peak
Middle Fork to Salmon La Sac Traverse,Snoqualmie Region,31.0,one-way,3200.0,5000.0,3.0,1,47.5479931077,-121.537188292,2020-09-01,7,https://www.wta.org/go-hiking/hikes/middle-fork-to-salmon-la-sac-traverse
Morgan Tidelands,Puget Sound and Islands,2.5,roundtrip,,,4.0,2,48.282841,-122.730019,2020-08-01,7,https://www.wta.org/go-hiking/hikes/morgan-tidelands
Big Cedar Tree - Kalaloch,Olympic Peninsula,0.1,roundtrip,,25.0,2.5,4,47.6754089734,-124.399091229,2021-01-10,10,https://www.wta.org/go-hiking/hikes/big-cedar-tree-kalaloch
Buck Mountain,Central Cascades,,,,8528.0,0.0,0,48.093915,-120.912898,2019-08-02,3,https://www.wta.org/go-hiking/hikes/buck-mountain
Truman Trail - Pumice Plains,South Cascades,10.0,roundtrip,1425.0,4200.0,3.83,6,46.24995,-122.13615,2020-08-23,57,https://www.wta.org/go-hiking/hikes/truman-trail-pumice-plain
Coldwater Peak,South Cascades,12.0,roundtrip,2000.0,5727.0,4.17,6,46.2767122221,-122.21681736,2020-12-02,63,https://www.wta.org/go-hiking/hikes/coldwater-peak
Patos Island,Puget Sound and Islands,1.5,roundtrip,30.0,30.0,0.0,0,48.7845864698,-122.964134216,2020-07-13,4,https://www.wta.org/go-hiking/hikes/patos-island
Finch Arboretum,Eastern Washington,1.25,roundtrip,,,0.0,0,47.643212,-117.462477,2020-10-30,1,https://www.wta.org/go-hiking/hikes/finch-arboretum
Slick Ear,Eastern Washington,4.7,one-way,2540.0,5189.0,0.0,0,,,2019-07-07,3,https://www.wta.org/go-hiking/hikes/slick-ear-1
Lauretta Norene and Groth Nature Preserve,Southwest Washington,1.25,trails,15.0,291.0,0.0,0,45.7274984606,-122.569785118,2020-02-08,1,https://www.wta.org/go-hiking/hikes/groth-nature-preserve-lauretta-norene-forest-preserve
Peach Preserve Shore,Puget Sound and Islands,1.5,roundtrip,,,0.0,0,,,2019-05-31,1,https://www.wta.org/go-hiking/hikes/peach-preserve
Anderson Point,Olympic Peninsula,1.4,roundtrip,250.0,250.0,0.0,0,47.4385446358,-122.539744377,2019-11-11,14,https://www.wta.org/go-hiking/hikes/anderson-point
Manzanita Trail,Puget Sound and Islands,2.0,roundtrip,,,0.0,0,47.679659,-122.549167,,0,https://www.wta.org/go-hiking/hikes/manzanita-trail
Kirkland Watershed Park,Puget Sound and Islands,,,,,0.0,0,47.6537448118,-122.188292195,2020-12-05,4,https://www.wta.org/go-hiking/hikes/kirkland-watershed-park
Alki Trail,Puget Sound and Islands,4.4,one-way,,20.0,4.33,3,47.5820984656,-122.371172905,2020-04-20,6,https://www.wta.org/go-hiking/hikes/alki-trail
Stairway to Heaven,Central Washington,9.7,roundtrip,,,0.0,0,47.3907525802,-120.422409093,2020-06-09,3,https://www.wta.org/go-hiking/hikes/stairway-to-heaven
Olallie Mountain Snowshoe,Snoqualmie Region,,,,,0.0,0,47.4264613956,-121.415576934,2016-02-28,2,https://www.wta.org/go-hiking/hikes/olallie-mountain-snowshoe
Ewok Trail,Snoqualmie Region,,,,,0.0,0,,,2020-08-07,5,https://www.wta.org/go-hiking/hikes/ewok-trail
Fairy Dell Trail,Puget Sound and Islands,0.5,one-way,,,0.0,0,47.6672370345,-122.57806778,,0,https://www.wta.org/go-hiking/hikes/fairy-dell-trail
Neppel Landing Trail,Eastern Washington,1.0,one-way,,,0.0,0,47.130912,-119.280286,,0,https://www.wta.org/go-hiking/hikes/neppel-landing-trail
Forest to Sky Trail,Puget Sound and Islands,0.9,one-way,,,0.0,0,47.6631185209,-122.574763298,,0,https://www.wta.org/go-hiking/hikes/forest-to-sky-trail
Frog Holler Forest,Puget Sound and Islands,2.6,trails,,,0.0,0,47.3717369778,-122.503389716,2020-07-18,1,https://www.wta.org/go-hiking/hikes/frog-holler-forest
Taylor Mountain - Hermit Trail,Issaquah Alps,2.24,one-way,750.0,1500.0,0.0,0,47.4147431496,-121.925659798,2020-07-25,1,https://www.wta.org/go-hiking/hikes/taylor-mountain-hermit-trail
Mount Index,Central Cascades,,,,,0.0,0,47.774548,-121.580941,2021-01-18,14,https://www.wta.org/go-hiking/hikes/mount-index
Blakely Harbor Park Trail,Puget Sound and Islands,0.3,one-way,,,0.0,0,47.5974602661,-122.520142794,2020-06-03,1,https://www.wta.org/go-hiking/hikes/blakely-harbor-park-trail
Battle Point Park Trail,Puget Sound and Islands,3.5,trails,,,0.0,0,47.6630896179,-122.574763298,,0,https://www.wta.org/go-hiking/hikes/battle-point-park-trail
Dry Creek Falls,Southwest Washington,4.6,roundtrip,860.0,870.0,3.33,6,45.662417,-121.896517,2021-03-09,16,https://www.wta.org/go-hiking/hikes/dry-creek-falls
Crescent Beach Preserve,Puget Sound and Islands,1.5,roundtrip,40.0,60.0,3.0,1,48.69595,-122.891567,2019-06-02,2,https://www.wta.org/go-hiking/hikes/crescent-beach-preserve
Seance Peak,North Cascades,,,,8072.0,0.0,0,48.239962,-120.388326,2017-07-15,1,https://www.wta.org/go-hiking/hikes/seance-peak
Beefhide Butte,North Cascades,,,,8030.0,0.0,0,48.227461,-120.391392,2017-07-15,1,https://www.wta.org/go-hiking/hikes/beefhide-butte
Cannon Mountain,Central Cascades,,,,8638.0,0.0,0,47.5029,-120.8013,2020-08-24,7,https://www.wta.org/go-hiking/hikes/cannon-mountain
Kyes Peak,Central Cascades,12.0,roundtrip,5200.0,,0.0,0,,,2020-09-29,7,https://www.wta.org/go-hiking/hikes/kyes-peak
Alta Mountain,Snoqualmie Region,12.0,roundtrip,3300.0,6151.0,4.68,19,47.3979629,-121.2843441,2021-01-23,241,https://www.wta.org/go-hiking/hikes/alta-mountain
Independence Ridge,South Cascades,2.6,roundtrip,40.0,4500.0,0.0,0,46.3046111762,-122.082393526,,0,https://www.wta.org/go-hiking/hikes/independence-ridge
Elk Bench,South Cascades,2.0,roundtrip,600.0,3100.0,0.0,0,46.2972848307,-122.266566753,2021-01-16,3,https://www.wta.org/go-hiking/hikes/elk-bench
BZ Trail,Southwest Washington,0.5,roundtrip,,,0.0,0,,,,0,https://www.wta.org/go-hiking/hikes/bz-trail
Jackson Park,Puget Sound and Islands,2.2,trails,,,1.0,3,47.727109798,-122.317359272,2021-03-12,4,https://www.wta.org/go-hiking/hikes/jackson-park
Palouse to Cascades Trail - Easton,Snoqualmie Region,,,,,0.0,0,47.2312512843,-121.172017715,2021-03-28,13,https://www.wta.org/go-hiking/hikes/palouse-to-cascades-trail-easton
Palouse to Cascades Trail - Rattlesnake Lake,Snoqualmie Region,11.0,roundtrip,300.0,1100.0,2.91,11,47.434136,-121.77066,2021-03-31,154,https://www.wta.org/go-hiking/hikes/palouse-to-cascades-trail-rattlesnake-lake
Palouse to Cascades Trail - Revere,Eastern Washington,,,,,0.0,0,,,2018-04-23,1,https://www.wta.org/go-hiking/hikes/palouse-to-cascades-trail-revere
Melakwa - Pratt Lake Traverse,Snoqualmie Region,11.7,roundtrip,2300.0,4700.0,0.0,0,47.415367284,-121.443349533,2020-10-17,99,https://www.wta.org/go-hiking/hikes/melakwa-pratt-lakes-traverse
Coleman Pinnacle,North Cascades,,,,,0.0,0,,,2019-09-29,7,https://www.wta.org/go-hiking/hikes/coleman-pinnacle
Tennant Lake and Hovander Homestead Trails,Puget Sound and Islands,1.0,roundtrip,,,5.0,1,48.81894,-122.57674,2020-08-02,10,https://www.wta.org/go-hiking/hikes/tennant-lake-and-hovander-homestead-trails
Lichtenwasser Lake Snowshoe,Central Cascades,,,,,3.0,1,47.7844685,-121.0323396,2020-12-26,13,https://www.wta.org/go-hiking/hikes/lichtenwasser-lake-snowshoe
Crescent Mountain,Mount Rainier Area,,,,,3.0,1,,,2009-08-25,1,https://www.wta.org/go-hiking/hikes/crescent-mtn
Sweat Creek Basin Trail,Eastern Washington,,,,,3.5,2,,,2010-05-29,1,https://www.wta.org/go-hiking/hikes/sweat-creek-basin-trail-no.-310-a
Highchair Mountain,Central Cascades,,,,7016.0,1.0,1,,,2016-08-02,9,https://www.wta.org/go-hiking/hikes/highchair-mtn-7016-ft-bootjack-mtn-6789-ft
Norwegian Memorial,Olympic Peninsula,,,,,1.0,1,48.1547881,-124.6671768,2021-04-10,26,https://www.wta.org/go-hiking/hikes/norwegian-memorial
Denny Mountain,Snoqualmie Region,,,,,2.5,2,47.4407440735,-121.420297623,2020-10-15,21,https://www.wta.org/go-hiking/hikes/denny-mountain
Beaver Pass,North Cascades,,,,,1.0,1,,,2019-08-31,5,https://www.wta.org/go-hiking/hikes/beaver-pass
Tom Dick &amp; Harry Lakes,Central Cascades,,,,,4.0,2,47.8375879745,-121.505012512,2019-04-26,5,https://www.wta.org/go-hiking/hikes/bitter-creek-logging-road
King Mountain,Eastern Washington,,,,,3.0,1,48.7424245,-118.3800402,2010-06-24,1,https://www.wta.org/go-hiking/hikes/king-mountain
Sibley Pass,North Cascades,,,,,3.0,1,,,2018-06-24,7,https://www.wta.org/go-hiking/hikes/sibley-pass
Mount Morpheus,Central Cascades,,,,5432.0,5.0,1,,,2012-10-02,5,https://www.wta.org/go-hiking/hikes/morpheous-5432-attempt
Mount Finn,Central Cascades,,,,,1.0,1,,,2010-10-26,1,https://www.wta.org/go-hiking/hikes/mount-finn
Box Ridge,Snoqualmie Region,,,,,2.0,1,,,2010-10-16,1,https://www.wta.org/go-hiking/hikes/box-ridge
Alta Mountain Tarns,Snoqualmie Region,,,,,5.0,1,,,2020-10-04,9,https://www.wta.org/go-hiking/hikes/alta-mountain-tarns-via-mineral-creek-trail
Snowshed Head,Snoqualmie Region,,,,3796.0,2.0,1,,,2020-09-01,3,https://www.wta.org/go-hiking/hikes/snowshed-head-3796
Swauk Ridge,Central Cascades,5.0,roundtrip,1700.0,4205.0,5.0,1,,,2010-12-06,1,https://www.wta.org/go-hiking/hikes/swauk-ridge-4205
South Cle Elum Ridge,Central Cascades,,,,5040.0,2.0,1,,,2020-06-13,2,https://www.wta.org/go-hiking/hikes/south-c-le-elum-ridge-west-5040
Bessequartz Peak,Snoqualmie Region,,,,4481.0,5.0,1,,,2020-12-21,2,https://www.wta.org/go-hiking/hikes/bessequartz
Fool's Day Peak,Central Cascades,10.0,roundtrip,3100.0,5203.0,2.0,1,,,2021-03-18,3,https://www.wta.org/go-hiking/hikes/fools-day-peak-5203-428p
Cold Lake,South Cascades,,,,,4.0,1,,,2012-09-01,2,https://www.wta.org/go-hiking/hikes/cold-lake
Tieton Glacier,South Cascades,,,,,3.0,1,,,2010-08-24,1,https://www.wta.org/go-hiking/hikes/tieton-glacier
Tieton Peak Trail,South Cascades,,,,,1.0,1,,,2010-08-24,2,https://www.wta.org/go-hiking/hikes/tieton-peaks-1131
Silent Lakes,North Cascades,,,,,3.5,2,,,2019-08-09,3,https://www.wta.org/go-hiking/hikes/silent-lakes
Four Springs Lake Preserve,Puget Sound and Islands,1.6,roundtrip,,,1.0,1,,,2019-10-07,5,https://www.wta.org/go-hiking/hikes/four-springs-lake-preserve
Lunch Rock,Snoqualmie Region,9.0,roundtrip,,,2.0,1,,,2010-11-05,1,https://www.wta.org/go-hiking/hikes/lunch-rock
Elysian Fields,Mount Rainier Area,,,,,1.0,1,,,,0,https://www.wta.org/go-hiking/hikes/elysian-fields
Axis Peak,Central Cascades,,,,7550.0,5.0,1,,,2018-06-02,5,https://www.wta.org/go-hiking/hikes/axis-peak-7550
Malcolm Mountain,Snoqualmie Region,,,,,1.0,1,,,2016-10-23,14,https://www.wta.org/go-hiking/hikes/malcolm-mountain
Johnson Mountain,Snoqualmie Region,,,,,3.0,1,,,2020-02-29,9,https://www.wta.org/go-hiking/hikes/johnson-mountain-1
Jove Peak,Central Cascades,,,,6007.0,0.0,0,47.8112231,-121.0826,2018-07-04,5,https://www.wta.org/go-hiking/hikes/jove-peak
It Peak Snowshoe,Central Washington,,,,,0.0,0,,,2013-04-19,1,https://www.wta.org/go-hiking/hikes/it-peak-snowshoe
Palouse to Cascades Trail - The Tunnel,Snoqualmie Region,5.3,roundtrip,,1100.0,3.69,16,47.3930166667,-121.3928,2021-01-18,153,https://www.wta.org/go-hiking/hikes/iron-horse-tunnel
Julia Butler Hansen National Wildlife Refuge for the Columbian White-Tailed Deer,Southwest Washington,5.6,roundtrip,,20.0,2.2,5,46.2565333333,-123.43635,2019-08-17,7,https://www.wta.org/go-hiking/hikes/julia-butler-hansen-nwr
Kayak Point Park,Puget Sound and Islands,,,,,3.25,4,48.138781,-122.360987,2019-03-24,10,https://www.wta.org/go-hiking/hikes/kayak-point-park
Iron Goat Trail - Winter Route,Central Cascades,,,,,0.0,0,47.7120293,-121.1622797,2020-07-19,11,https://www.wta.org/go-hiking/hikes/iron-goat-trail-snowshoe
Jumbo Peak,South Cascades,6.0,roundtrip,1300.0,5801.0,2.75,4,46.3353833333,-121.743383333,2020-08-24,10,https://www.wta.org/go-hiking/hikes/jumbo-peak
Jolly Mountain,Snoqualmie Region,13.9,roundtrip,4000.0,6440.0,2.62,8,47.4044,-121.099117,2021-04-09,59,https://www.wta.org/go-hiking/hikes/jolly-mountain
Japanese Gulch,Puget Sound and Islands,4.0,trails,174.0,363.0,3.2,10,47.9467638231,-122.292079925,2021-04-23,94,https://www.wta.org/go-hiking/hikes/japanese-gulch
Kaleetan Peak,Snoqualmie Region,12.0,roundtrip,4500.0,6224.0,4.64,11,47.4152381,-121.4432959,2020-11-02,159,https://www.wta.org/go-hiking/hikes/kaleetan-peak
Jumpoff Ridge,Central Cascades,8.0,roundtrip,1800.0,2600.0,1.0,1,47.8537658,-121.5022057,2020-08-01,23,https://www.wta.org/go-hiking/hikes/jumpoff-ridge
Johnson Creek - Medra Pass,Snoqualmie Region,8.0,roundtrip,2250.0,5420.0,3.7,10,47.3812,-120.885733,2020-11-07,91,https://www.wta.org/go-hiking/hikes/johnson-medra-creek
June Lake Snowshoe,South Cascades,4.8,roundtrip,500.0,3140.0,3.75,4,46.1352375,-122.1568904,2021-03-20,39,https://www.wta.org/go-hiking/hikes/june-lake-snowshoe
Judi's Peak,Snoqualmie Region,,,3417.0,6560.0,0.0,0,,,2020-10-24,7,https://www.wta.org/go-hiking/hikes/judis-peak
Island Center Forest,Puget Sound and Islands,10.0,trails,200.0,425.0,3.0,4,47.4364641674,-122.471043281,2020-01-18,21,https://www.wta.org/go-hiking/hikes/island-center-forest
Keenan Meadows,Central Washington,3.1,one-way,,,3.33,3,,,,0,https://www.wta.org/go-hiking/hikes/keenen-meadow
Jug Lake,South Cascades,7.4,roundtrip,1485.0,4480.0,2.89,9,46.7230333333,-121.4366,2020-06-10,19,https://www.wta.org/go-hiking/hikes/jug-lake
June Lake,South Cascades,2.86,roundtrip,445.0,3140.0,3.75,8,46.137267,-122.15685,2020-09-27,53,https://www.wta.org/go-hiking/hikes/june-lake
Index Town Wall,Central Cascades,,,,,3.9,10,47.8173531,-121.571406,2021-04-18,148,https://www.wta.org/go-hiking/hikes/index-town-wall
Ice Cave - Natural Bridges Nature Trails,South Cascades,0.25,roundtrip,,2900.0,2.2,5,46.1298056,-121.8392125,2021-02-28,7,https://www.wta.org/go-hiking/hikes/ice-cave-natural-bridges-nature-trails
Huckleberry Snowshoe Route,North Cascades,,,,,0.0,0,48.8946310943,-121.675300598,2013-02-22,2,https://www.wta.org/go-hiking/hikes/huckleberry-snowshoe-route
Junction Lake,South Cascades,5.0,roundtrip,700.0,4780.0,2.5,2,45.9811420892,-121.758159399,2019-06-29,4,https://www.wta.org/go-hiking/hikes/indian-heaven-junction-lake
Indian Racetrack,South Cascades,5.0,roundtrip,700.0,5200.0,3.33,6,46.1298056,-121.8392125,2021-03-06,18,https://www.wta.org/go-hiking/hikes/indian-racetrack
Icicle River Road Snowshoe,Central Cascades,,,,,0.0,0,47.5475668093,-120.688762665,2021-01-30,13,https://www.wta.org/go-hiking/hikes/icicle-river-road-snowshoe
Howson Creek,Snoqualmie Region,7.0,roundtrip,3400.0,5700.0,2.6,5,47.3514085,-121.1043602,2020-06-13,21,https://www.wta.org/go-hiking/hikes/howson-creek
Horseshoe Lake,Central Cascades,16.0,roundtrip,2928.0,6300.0,4.0,5,47.5300271,-120.8179317,2020-10-11,64,https://www.wta.org/go-hiking/hikes/horseshoe-lake
Howard Miller Steelhead Park - Wetland Wildlife Trail,North Cascades,10.0,trails,,,2.33,3,48.4834259954,-121.601829529,2021-01-22,7,https://www.wta.org/go-hiking/hikes/howard-miller-steelhead-park-rail-trail
I-90 Trail,Puget Sound and Islands,20.0,roundtrip,,,2.0,1,47.5926570223,-122.244456634,2020-08-27,12,https://www.wta.org/go-hiking/hikes/i-90-trail
Iron Creek Campground Loop,South Cascades,1.5,roundtrip,,1200.0,3.0,5,46.429127,-121.9877633,2020-08-02,11,https://www.wta.org/go-hiking/hikes/iron-creek-campground
Howard Lake,Central Cascades,3.3,roundtrip,600.0,2180.0,2.33,3,48.3800666667,-120.837566667,2020-08-11,4,https://www.wta.org/go-hiking/hikes/howard-lake
Devil's Head,Snoqualmie Region,,,,,0.0,0,,,2020-11-01,15,https://www.wta.org/go-hiking/hikes/devils-head
Wynoochee Pass to Sundown Lake,Olympic Peninsula,12.0,roundtrip,3150.0,3820.0,5.0,1,47.5163280099,-123.539326899,2020-08-15,19,https://www.wta.org/go-hiking/hikes/sundown-lake-way-trail
Island Lake,North Cascades,,,,,3.33,3,48.0325985,-121.6834849,2020-08-25,12,https://www.wta.org/go-hiking/hikes/island-lake-3
Poet Ridge (Little Wenatchee Ridge),Central Cascades,,,,,3.0,1,,,2020-09-29,14,https://www.wta.org/go-hiking/hikes/poet-ridge
Threeway Peak,Mount Rainier Area,,,,,0.0,0,,,2017-07-29,2,https://www.wta.org/go-hiking/hikes/threeway-peak
Cat Creek Way,Olympic Peninsula,,,,,0.0,0,,,2017-09-03,5,https://www.wta.org/go-hiking/hikes/cat-creek-way-trail
Hogback Mountain,South Cascades,,,,,4.0,1,,,2020-05-24,14,https://www.wta.org/go-hiking/hikes/hogback-mountain
Oneonta Gorge,Southwest Washington,2.7,roundtrip,375.0,385.0,4.0,6,45.590833,-122.068467,2017-08-23,19,https://www.wta.org/go-hiking/hikes/oneonta-gorge
Little Joe Lake,Snoqualmie Region,6.6,roundtrip,,,0.0,0,,,2020-07-19,17,https://www.wta.org/go-hiking/hikes/joe-lake
Camp Schurman,Mount Rainier Area,,,,,5.0,2,46.90031955,-121.65813446,2020-07-27,13,https://www.wta.org/go-hiking/hikes/camp-schurman
Columbia National Wildlife Refuge - Marsh Lake Unit,Central Washington,,,,,0.0,0,,,2020-03-20,6,https://www.wta.org/go-hiking/hikes/oillar-widgeon-and-hampton-lakes
Old Sauk Mountain Trail,North Cascades,,,,,4.5,2,,,2020-08-23,18,https://www.wta.org/go-hiking/hikes/old-sauk-mountain-trail-614
Valley of the Silent Men,Olympic Peninsula,,,,,4.0,2,,,2021-02-06,15,https://www.wta.org/go-hiking/hikes/valley-of-the-silent-men
Tomlike Mountain,Southwest Washington,6.0,roundtrip,1300.0,4555.0,0.0,0,45.577567,-121.792517,2018-01-13,3,https://www.wta.org/go-hiking/hikes/tomlike-mountain
Dixie Peak,Snoqualmie Region,,,,,4.0,2,47.5278656103,-121.709289551,2021-04-21,31,https://www.wta.org/go-hiking/hikes/dixie-peak
DeRoux Peak,Snoqualmie Region,,,,,0.0,0,47.4194928289,-120.939602852,2020-07-03,16,https://www.wta.org/go-hiking/hikes/deroux-peak
West Tibbett's Creek Trail (#COUGAR-E10),Issaquah Alps,,,,,0.0,0,,,2021-04-11,40,https://www.wta.org/go-hiking/hikes/west-tibbetts-creek-trail-cougar-e10
Mount Christoff,Mount Rainier Area,,,,,0.0,0,47.1603068993,-121.662254333,2018-05-28,15,https://www.wta.org/go-hiking/hikes/mount-christoff
Silver Moon,North Cascades,,,,8252.0,0.0,0,,,2017-06-17,2,https://www.wta.org/go-hiking/hikes/silver-moon
Shaw Island,Puget Sound and Islands,,,,,0.0,0,48.5848973736,-122.927913666,2016-12-30,3,https://www.wta.org/go-hiking/hikes/shaw-island
Lewis Creek Trail - Bellevue,Issaquah Alps,,,,,3.5,2,47.5508219631,-122.125560233,2020-12-17,8,https://www.wta.org/go-hiking/hikes/lewis-creek-trail-bellevue
Joseph Whidbey State Park,Puget Sound and Islands,,,,,0.0,0,48.3080893906,-122.707328796,2021-03-21,16,https://www.wta.org/go-hiking/hikes/joseph-whidbey-state-park
CCC Plateau,Snoqualmie Region,,,,,0.0,0,47.4865849982,-121.673583984,2020-05-27,11,https://www.wta.org/go-hiking/hikes/ccc-pleateau
Middle Creek,Snoqualmie Region,,,,,0.0,0,47.2957855036,-120.855027437,2020-05-16,4,https://www.wta.org/go-hiking/hikes/middle-creek
2773' 353'P,Central Cascades,,,,,0.0,0,,,2011-01-18,1,https://www.wta.org/go-hiking/hikes/2773-353p
Teepee Falls,North Cascades,,,,,2.0,1,,,2011-06-03,1,https://www.wta.org/go-hiking/hikes/teepee-falls
Change Peak,Snoqualmie Region,,,,,3.8,5,47.4234417966,-121.673583984,2021-04-03,62,https://www.wta.org/go-hiking/hikes/change-peak
Deer Creek Falls,North Cascades,,,,,1.0,1,,,2019-03-24,4,https://www.wta.org/go-hiking/hikes/deer-creek-falls-1
McKay Ridge,North Cascades,,,,7000.0,4.0,1,,,2021-04-18,15,https://www.wta.org/go-hiking/hikes/mckay-ridge
Elowah and Upper McCord Creek Falls,Southwest Washington,3.4,roundtrip,620.0,660.0,4.33,3,45.612367,-122.00435,2017-08-27,8,https://www.wta.org/go-hiking/hikes/elowah-and-upper-mccord-creek-falls
Lake Sacajawea,Southwest Washington,3.5,roundtrip,,,3.75,4,46.1292246481,-122.942754831,2020-08-28,9,https://www.wta.org/go-hiking/hikes/lake-sacajawea
Iron Cap Mountain,Central Cascades,,,,6347.0,0.0,0,47.554002,-121.284818,2020-08-29,4,https://www.wta.org/go-hiking/hikes/iron-cap-mountain
